Country,Year,Visitors
Canada,2014,268485
U.S.A,2014,1118983
Argentina,2014,9731
Brazil,2014,19563
Mexico,2014,13978
Austria,2014,34360
Belgium,2014,37441
Denmark,2014,26775
Finland,2014,18765
France,2014,246101
Germany,2014,239106
Greece,2014,8300
Ireland,2014,28978
Italy,2014,91589
Netherlands,2014,67747
Norway,2014,19690
Portugal,2014,36156
Spain,2014,66463
Sweden,2014,44948
Switzerland,2014,45773
U.K.,2014,838860
Czech Rep.,2014,9878
Hungary,2014,6867
Kazakhstan,2014,16736
Poland,2014,25205
Russian Fed,2014,269832
Ukraine,2014,29281
Egypt,2014,16715
Kenya,2014,46158
Mauritius,2014,27945
Nigeria,2014,28314
South Africa,2014,56246
Sudan,2014,11896
Tanzania,2014,26284
Bahrain,2014,13136
Iraq,2014,48321
Israel,2014,49321
Oman,2014,88512
Saudi Arabia,2014,55487
Turkey,2014,24294
U.A.E.,2014,59332
Yemen Arab Rep.,2014,34207
Afghanistan,2014,115569
Bangladesh,2014,942562
Bhutan,2014,16001
Iran,2014,31222
Maldives,2014,65052
Nepal,2014,126416
Pakistan,2014,96434
Sri Lanka,2014,301601
Indonesia,2014,32215
Malaysia,2014,262026
Myanmar,2014,54631
Philippines,2014,43240
Singapore,2014,150731
Thailand,2014,121362
Vietnam,2014,15132
China,2014,181020
Japan,2014,219516
Rep. of Korea,2014,106870
Taiwan,2014,35857
Australia,2014,239762
New Zealand,2014,42864
Canada,2015,281306
U.S.A,2015,1213624
Argentina,2015,9351
Brazil,2015,20610
Mexico,2015,14049
Austria,2015,33670
Belgium,2015,36684
Denmark,2015,24073
Finland,2015,18129
France,2015,230854
Germany,2015,248314
Greece,2015,8087
Ireland,2015,32973
Italy,2015,88091
Netherlands,2015,66181
Norway,2015,19757
Portugal,2015,44616
Spain,2015,65694
Sweden,2015,42626
Switzerland,2015,46151
U.K.,2015,867601
Czech Rep.,2015,11441
Hungary,2015,7036
Kazakhstan,2015,14506
Poland,2015,26499
Russian Fed,2015,172419
Ukraine,2015,23098
Egypt,2015,19168
Kenya,2015,46139
Mauritius,2015,32533
Nigeria,2015,24292
South Africa,2015,51922
Sudan,2015,13704
Tanzania,2015,25488
Bahrain,2015,14013
Iraq,2015,42660
Israel,2015,50134
Oman,2015,103740
Saudi Arabia,2015,63835
Turkey,2015,25670
U.A.E.,2015,55818
Yemen Arab Rep.,2015,20901
Afghanistan,2015,114406
Bangladesh,2015,1133879
Bhutan,2015,19084
Iran,2015,30774
Maldives,2015,68907
Nepal,2015,154720
Pakistan,2015,124924
Sri Lanka,2015,299513
Indonesia,2015,34933
Malaysia,2015,272941
Myanmar,2015,55341
Philippines,2015,47912
Singapore,2015,152238
Thailand,2015,115860
Vietnam,2015,15341
China,2015,206322
Japan,2015,207415
Rep. of Korea,2015,102993
Taiwan,2015,36349
Australia,2015,263201
New Zealand,2015,45171
Canada,2016,317239
U.S.A,2016,1296939
Argentina,2016,12308
Brazil,2016,21289
Mexico,2016,15689
Austria,2016,33089
Belgium,2016,37960
Denmark,2016,24717
Finland,2016,18371
France,2016,238707
Germany,2016,265928
Greece,2016,9048
Ireland,2016,36440
Italy,2016,95417
Netherlands,2016,71840
Norway,2016,20148
Portugal,2016,54439
Spain,2016,76342
Sweden,2016,43689
Switzerland,2016,48123
U.K.,2016,941883
Czech Rep.,2016,12932
Hungary,2016,7961
Kazakhstan,2016,12979
Poland,2016,25706
Russian Fed,2016,227749
Ukraine,2016,26753
Egypt,2016,20864
Kenya,2016,44783
Mauritius,2016,34280
